x,y,pci,rsrp
98.224,17.1175,42.0,-75.819366
98.257,18.421,42.0,-70.066929
98.299,20.08,42.0,-67.797744
100.039,13.87,42.0,-95.480252
100.078,15.4105,42.0,-67.753307
100.2415,17.185,42.0,-70.717742
100.2685,18.2515,42.0,-69.67594
101.8555,15.3655,42.0,-74.922667
101.8945,16.906,42.0,-75.134091
102.049,18.325,42.0,-63.242632
