x,y,pci,rsrp
71.0,0.0,39.0,-85.86124233333334
72.0,0.0,40.0,-85.86124233333334
73.0,0.0,40.0,-85.86124233333334
74.0,0.0,40.0,-85.86124233333334
75.0,0.0,40.0,-84.728746
76.0,0.0,40.0,-83.28797166666665
77.0,0.0,40.0,-83.28797166666665
78.0,0.0,40.0,-86.98108733333333
79.0,0.0,40.0,-86.98108733333333
71.0,1.0,39.0,-86.32396100000001
72.0,1.0,40.0,-85.86124233333334
73.0,1.0,40.0,-85.86124233333334
74.0,1.0,40.0,-85.86124233333334
75.0,1.0,40.0,-84.728746
76.0,1.0,40.0,-83.28797166666665
77.0,1.0,40.0,-83.28797166666665
78.0,1.0,40.0,-86.98108733333333
79.0,1.0,40.0,-86.98108733333333
71.0,2.0,39.0,-86.32396100000001
72.0,2.0,39.0,-86.32396100000001
73.0,2.0,40.0,-85.86124233333334
74.0,2.0,40.0,-85.86124233333334
75.0,2.0,40.0,-84.728746
76.0,2.0,40.0,-83.28797166666665
77.0,2.0,40.0,-83.28797166666665
78.0,2.0,40.0,-86.98108733333333
79.0,2.0,40.0,-86.98108733333333
80.0,2.0,40.0,-86.98108733333333
71.0,3.0,39.0,-86.32396100000001
72.0,3.0,40.0,-86.32396100000001
73.0,3.0,40.0,-86.323961
74.0,3.0,40.0,-84.322272
75.0,3.0,40.0,-82.03564999999999
76.0,3.0,40.0,-82.03564999999999
77.0,3.0,40.0,-83.28797166666665
78.0,3.0,40.0,-86.98108733333333
79.0,3.0,40.0,-86.98108733333333
80.0,3.0,40.0,-86.98108733333333
71.0,4.0,39.0,-86.32396100000001
72.0,4.0,40.0,-86.323961
73.0,4.0,40.0,-86.323961
74.0,4.0,40.0,-81.629176
75.0,4.0,40.0,-81.629176
76.0,4.0,40.0,-82.03564999999999
77.0,4.0,40.0,-86.98108733333333
78.0,4.0,40.0,-86.98108733333333
79.0,4.0,40.0,-86.98108733333333
80.0,4.0,40.0,-86.98108733333333
71.0,5.0,39.0,-86.32396100000001
72.0,5.0,40.0,-86.323961
73.0,5.0,40.0,-83.99989433333333
74.0,5.0,40.0,-81.629176
75.0,5.0,40.0,-81.629176
76.0,5.0,40.0,-82.03564999999999
77.0,5.0,40.0,-85.72876566666666
78.0,5.0,40.0,-86.98108733333333
79.0,5.0,40.0,-86.98108733333333
80.0,5.0,40.0,-88.84672733333332
74.0,6.0,39.0,-81.629176
75.0,6.0,40.0,-81.629176
76.0,6.0,40.0,-82.49836866666666
77.0,6.0,40.0,-87.59440566666666
78.0,6.0,40.0,-87.59440566666666
79.0,6.0,40.0,-88.84672733333332
76.0,7.0,40.0,-84.36400866666666
77.0,7.0,40.0,-87.59440566666666
78.0,7.0,40.0,-87.59440566666666
79.0,7.0,40.0,-88.84672733333332
77.0,8.0,40.0,-87.59440566666666
78.0,8.0,40.0,-87.59440566666666
79.0,8.0,40.0,-87.59440566666666
76.0,9.0,39.0,-84.36400866666666
77.0,9.0,40.0,-87.59440566666666
78.0,9.0,40.0,-87.59440566666666
79.0,9.0,40.0,-87.59440566666666
76.0,10.0,39.0,-84.36400866666666
78.0,10.0,40.0,-87.59440566666666
79.0,10.0,41.0,-87.59440566666666
