x,y,pci,rsrp
38.0,0.0,38.0,6.6826111285098095
39.0,0.0,38.0,6.6826111285098095
40.0,0.0,38.0,6.6826111285098095
41.0,0.0,38.0,6.6826111285098095
40.0,1.0,38.0,6.6826111285098095
41.0,1.0,38.0,6.6826111285098095
42.0,1.0,38.0,6.6826111285098095
42.0,2.0,38.0,6.6826111285098095
43.0,2.0,38.0,6.6826111285098095
44.0,2.0,38.0,6.6826111285098095
45.0,2.0,38.0,6.6826111285098095
44.0,3.0,38.0,8.525602796892745
45.0,3.0,38.0,8.525602796892745
46.0,3.0,38.0,8.525602796892745
46.0,4.0,38.0,7.881457483665559
47.0,4.0,38.0,7.881457483665559
48.0,4.0,38.0,7.881457483665559
61.0,4.0,39.0,5.490491514619647
65.0,4.0,40.0,8.970710187841092
49.0,5.0,38.0,7.881457483665559
60.0,5.0,39.0,5.082215428744662
61.0,5.0,39.0,5.082215428744662
62.0,5.0,39.0,5.082215428744662
63.0,5.0,39.0,4.858461761471829
64.0,5.0,40.0,8.562434101966108
65.0,5.0,40.0,8.562434101966108
66.0,5.0,40.0,8.78016778056412
67.0,5.0,39.0,4.657440028562466
68.0,5.0,39.0,4.657440028562466
69.0,5.0,39.0,4.657440028562466
51.0,6.0,38.0,6.158507532494217
60.0,6.0,39.0,4.298529614928051
61.0,6.0,39.0,4.298529614928051
62.0,6.0,39.0,4.298529614928051
63.0,6.0,39.0,3.757115457367288
64.0,6.0,39.0,3.757115457367288
65.0,6.0,39.0,3.757115457367288
66.0,6.0,39.0,3.974849135965301
67.0,6.0,39.0,3.5560937244579236
68.0,6.0,39.0,3.5560937244579236
69.0,6.0,39.0,3.5560937244579236
52.0,7.0,38.0,5.467735503100546
53.0,7.0,38.0,5.467735503100546
54.0,7.0,38.0,5.684529643272915
56.0,7.0,39.0,4.688731908950812
57.0,7.0,39.0,4.828344298065589
58.0,7.0,39.0,4.828344298065589
59.0,7.0,39.0,4.298529614928051
60.0,7.0,39.0,4.298529614928051
61.0,7.0,39.0,4.298529614928051
62.0,7.0,39.0,4.298529614928051
63.0,7.0,39.0,3.757115457367288
64.0,7.0,39.0,3.757115457367288
65.0,7.0,39.0,3.757115457367288
66.0,7.0,39.0,3.974849135965301
67.0,7.0,39.0,3.5560937244579236
68.0,7.0,39.0,3.5560937244579236
48.0,8.0,38.0,6.666614717163393
52.0,8.0,38.0,4.762808847710349
53.0,8.0,38.0,4.762808847710349
54.0,8.0,38.0,4.979602987882718
57.0,8.0,39.0,4.123417642675392
58.0,8.0,39.0,4.123417642675392
59.0,8.0,39.0,3.5936029595378542
60.0,8.0,39.0,3.5936029595378542
61.0,8.0,39.0,3.5936029595378542
62.0,8.0,39.0,3.5936029595378542
63.0,8.0,39.0,3.023980510892394
64.0,8.0,39.0,3.023980510892394
65.0,8.0,39.0,3.023980510892394
66.0,8.0,39.0,3.023980510892394
67.0,8.0,39.0,2.6052250993850166
49.0,9.0,38.0,6.151302792192162
53.0,9.0,38.0,4.247496922739116
54.0,9.0,38.0,4.464291062911487
56.0,9.0,39.0,3.468493328589385
57.0,9.0,39.0,3.60810571770416
58.0,9.0,39.0,3.60810571770416
59.0,9.0,39.0,3.078291034566622
61.0,9.0,39.0,3.078291034566622
62.0,9.0,39.0,3.078291034566622
63.0,9.0,39.0,2.508668585921162
64.0,9.0,39.0,2.508668585921162
67.0,9.0,39.0,2.0899131744137844
49.0,10.0,38.0,6.035458099536426
50.0,10.0,38.0,4.822424259477052
56.0,10.0,39.0,3.35264863593365
57.0,10.0,39.0,3.492261025048425
58.0,10.0,38.0,5.7940594909953225
59.0,10.0,38.0,5.577602572410382
62.0,10.0,39.0,3.275804106463484
63.0,10.0,39.0,2.706181657818024
50.0,11.0,38.0,4.822424259477052
51.0,11.0,38.0,4.822424259477052
53.0,11.0,38.0,4.131652230083382
57.0,11.0,38.0,5.7940594909953225
58.0,11.0,39.0,3.492261025048425
59.0,11.0,39.0,3.275804106463484
61.0,11.0,39.0,3.275804106463484
62.0,11.0,39.0,3.275804106463484
63.0,11.0,39.0,2.706181657818024
50.0,12.0,38.0,4.877577956997115
51.0,12.0,38.0,4.877577956997115
52.0,12.0,38.0,4.186805927603446
53.0,12.0,38.0,4.186805927603446
57.0,12.0,39.0,3.547414722568489
58.0,12.0,39.0,3.547414722568489
59.0,12.0,38.0,5.275963732392868
62.0,12.0,39.0,2.97416526644597
51.0,13.0,38.0,5.620689552487443
52.0,13.0,38.0,4.929917523093774
53.0,13.0,38.0,4.929917523093774
57.0,13.0,38.0,6.592324784005713
58.0,13.0,39.0,4.290526318058818
59.0,13.0,39.0,3.7172768619362984
60.0,13.0,39.0,3.7172768619362984
53.0,14.0,38.0,12.374572916129425
57.0,14.0,38.0,9.84320392183194
58.0,14.0,38.0,10.41135584664842
59.0,14.0,39.0,8.109557380701519
60.0,14.0,39.0,8.109557380701519
58.0,15.0,38.0,9.605450125066316
59.0,15.0,39.0,7.303651659119414
60.0,15.0,39.0,7.303651659119414
59.0,16.0,39.0,9.78564840184545
60.0,16.0,39.0,9.78564840184545
