x,y,pci,rsrp
0.0,0.0,38.0,4.7784687833746995
1.0,0.0,38.0,4.7784687833746995
2.0,0.0,38.0,4.7784687833746995
3.0,0.0,38.0,4.7784687833746995
4.0,0.0,38.0,4.7784687833746995
5.0,0.0,38.0,4.7784687833746995
6.0,0.0,38.0,4.7784687833746995
7.0,0.0,38.0,4.7784687833746995
8.0,0.0,38.0,4.7784687833746995
9.0,0.0,38.0,4.7784687833746995
10.0,0.0,38.0,4.7784687833746995
11.0,0.0,38.0,4.7784687833746995
12.0,0.0,38.0,4.7784687833746995
13.0,0.0,38.0,4.7784687833746995
14.0,0.0,38.0,4.7784687833746995
15.0,0.0,38.0,4.7784687833746995
16.0,0.0,38.0,4.7784687833746995
17.0,0.0,38.0,4.7784687833746995
18.0,0.0,38.0,4.7784687833746995
19.0,0.0,38.0,4.7784687833746995
20.0,0.0,38.0,4.7784687833746995
21.0,0.0,38.0,4.7784687833746995
22.0,0.0,38.0,4.7784687833746995
23.0,0.0,38.0,4.7784687833746995
24.0,0.0,38.0,4.7784687833746995
25.0,0.0,38.0,4.7784687833746995
26.0,0.0,38.0,4.7784687833746995
27.0,0.0,38.0,4.7784687833746995
28.0,0.0,38.0,4.7784687833746995
29.0,0.0,38.0,4.7784687833746995
30.0,0.0,38.0,4.7784687833746995
31.0,0.0,38.0,4.7784687833746995
32.0,0.0,38.0,4.7784687833746995
33.0,0.0,38.0,4.7784687833746995
34.0,0.0,38.0,4.7784687833746995
35.0,0.0,38.0,4.7784687833746995
36.0,0.0,38.0,4.7784687833746995
37.0,0.0,38.0,4.7784687833746995
0.0,1.0,38.0,4.7784687833746995
1.0,1.0,38.0,4.7784687833746995
2.0,1.0,38.0,4.7784687833746995
3.0,1.0,38.0,4.7784687833746995
4.0,1.0,38.0,4.7784687833746995
5.0,1.0,38.0,4.7784687833746995
6.0,1.0,38.0,4.7784687833746995
7.0,1.0,38.0,4.7784687833746995
8.0,1.0,38.0,4.7784687833746995
9.0,1.0,38.0,4.7784687833746995
10.0,1.0,38.0,4.7784687833746995
11.0,1.0,38.0,4.7784687833746995
12.0,1.0,38.0,4.7784687833746995
13.0,1.0,38.0,4.7784687833746995
14.0,1.0,38.0,4.7784687833746995
15.0,1.0,38.0,4.7784687833746995
16.0,1.0,38.0,4.7784687833746995
17.0,1.0,38.0,4.7784687833746995
18.0,1.0,38.0,4.7784687833746995
19.0,1.0,38.0,4.7784687833746995
20.0,1.0,38.0,4.7784687833746995
21.0,1.0,38.0,4.7784687833746995
22.0,1.0,38.0,4.7784687833746995
23.0,1.0,38.0,4.7784687833746995
24.0,1.0,38.0,4.7784687833746995
25.0,1.0,38.0,4.7784687833746995
26.0,1.0,38.0,4.7784687833746995
27.0,1.0,38.0,4.7784687833746995
28.0,1.0,38.0,4.7784687833746995
29.0,1.0,38.0,4.7784687833746995
30.0,1.0,38.0,4.7784687833746995
31.0,1.0,38.0,4.7784687833746995
32.0,1.0,38.0,4.7784687833746995
33.0,1.0,38.0,4.7784687833746995
34.0,1.0,38.0,4.7784687833746995
35.0,1.0,38.0,4.7784687833746995
36.0,1.0,38.0,4.7784687833746995
37.0,1.0,38.0,4.7784687833746995
38.0,1.0,38.0,4.7784687833746995
39.0,1.0,38.0,4.7784687833746995
0.0,2.0,38.0,4.7784687833746995
1.0,2.0,38.0,4.7784687833746995
2.0,2.0,38.0,4.7784687833746995
3.0,2.0,38.0,4.7784687833746995
4.0,2.0,38.0,4.7784687833746995
5.0,2.0,38.0,4.7784687833746995
6.0,2.0,38.0,4.7784687833746995
7.0,2.0,38.0,4.7784687833746995
8.0,2.0,38.0,4.7784687833746995
9.0,2.0,38.0,4.7784687833746995
10.0,2.0,38.0,4.7784687833746995
11.0,2.0,38.0,4.7784687833746995
12.0,2.0,38.0,4.7784687833746995
13.0,2.0,38.0,4.7784687833746995
14.0,2.0,38.0,4.7784687833746995
15.0,2.0,38.0,4.7784687833746995
16.0,2.0,38.0,4.7784687833746995
17.0,2.0,38.0,4.7784687833746995
18.0,2.0,38.0,4.7784687833746995
19.0,2.0,38.0,4.7784687833746995
20.0,2.0,38.0,4.7784687833746995
21.0,2.0,38.0,4.7784687833746995
22.0,2.0,38.0,4.7784687833746995
23.0,2.0,38.0,4.7784687833746995
24.0,2.0,38.0,4.7784687833746995
25.0,2.0,38.0,4.7784687833746995
26.0,2.0,38.0,4.7784687833746995
27.0,2.0,38.0,4.7784687833746995
28.0,2.0,38.0,4.7784687833746995
29.0,2.0,38.0,4.7784687833746995
30.0,2.0,38.0,4.7784687833746995
31.0,2.0,38.0,4.7784687833746995
32.0,2.0,38.0,4.7784687833746995
33.0,2.0,38.0,4.7784687833746995
34.0,2.0,38.0,4.7784687833746995
35.0,2.0,38.0,4.7784687833746995
36.0,2.0,38.0,4.7784687833746995
37.0,2.0,38.0,4.7784687833746995
38.0,2.0,38.0,4.7784687833746995
39.0,2.0,38.0,4.7784687833746995
40.0,2.0,38.0,4.7784687833746995
41.0,2.0,38.0,4.7784687833746995
0.0,3.0,38.0,7.296536578696041
1.0,3.0,38.0,7.296536578696041
2.0,3.0,38.0,7.296536578696041
3.0,3.0,38.0,7.296536578696041
4.0,3.0,38.0,7.296536578696041
5.0,3.0,38.0,7.296536578696041
6.0,3.0,38.0,7.296536578696041
7.0,3.0,38.0,7.296536578696041
8.0,3.0,38.0,7.296536578696041
9.0,3.0,38.0,7.296536578696041
10.0,3.0,38.0,7.296536578696041
11.0,3.0,38.0,7.296536578696041
12.0,3.0,38.0,7.296536578696041
13.0,3.0,38.0,7.296536578696041
14.0,3.0,38.0,7.296536578696041
15.0,3.0,38.0,7.296536578696041
16.0,3.0,38.0,7.296536578696041
17.0,3.0,38.0,7.296536578696041
18.0,3.0,38.0,7.296536578696041
19.0,3.0,38.0,7.296536578696041
20.0,3.0,38.0,7.296536578696041
21.0,3.0,38.0,7.296536578696041
22.0,3.0,38.0,7.296536578696041
23.0,3.0,38.0,7.296536578696041
24.0,3.0,38.0,7.296536578696041
25.0,3.0,38.0,7.296536578696041
26.0,3.0,38.0,7.296536578696041
27.0,3.0,38.0,7.296536578696041
28.0,3.0,38.0,7.296536578696041
29.0,3.0,38.0,7.296536578696041
30.0,3.0,38.0,7.296536578696041
31.0,3.0,38.0,7.296536578696041
32.0,3.0,38.0,7.296536578696041
33.0,3.0,38.0,7.296536578696041
34.0,3.0,38.0,7.296536578696041
35.0,3.0,38.0,7.296536578696041
36.0,3.0,38.0,7.296536578696041
37.0,3.0,38.0,7.296536578696041
38.0,3.0,38.0,7.296536578696041
39.0,3.0,38.0,7.296536578696041
40.0,3.0,38.0,7.296536578696041
41.0,3.0,38.0,7.296536578696041
42.0,3.0,38.0,7.296536578696041
43.0,3.0,38.0,7.296536578696041
0.0,4.0,38.0,6.86825418045761
1.0,4.0,38.0,6.86825418045761
2.0,4.0,38.0,6.86825418045761
3.0,4.0,38.0,6.86825418045761
4.0,4.0,38.0,6.86825418045761
5.0,4.0,38.0,6.86825418045761
6.0,4.0,38.0,6.86825418045761
