x,y,pci,rsrp
0.0,0.0,38.0,-80.638883
1.0,0.0,38.0,-80.638883
2.0,0.0,38.0,-80.638883
3.0,0.0,38.0,-80.638883
4.0,0.0,38.0,-80.638883
5.0,0.0,38.0,-80.638883
6.0,0.0,38.0,-80.638883
7.0,0.0,38.0,-80.638883
8.0,0.0,38.0,-80.638883
9.0,0.0,38.0,-80.638883
10.0,0.0,38.0,-80.638883
11.0,0.0,38.0,-80.638883
12.0,0.0,38.0,-80.638883
13.0,0.0,38.0,-80.638883
14.0,0.0,38.0,-80.638883
15.0,0.0,38.0,-80.638883
16.0,0.0,38.0,-80.638883
17.0,0.0,38.0,-80.638883
18.0,0.0,38.0,-80.638883
19.0,0.0,38.0,-82.48490133333333
20.0,0.0,38.0,-82.48490133333333
21.0,0.0,38.0,-82.48490133333333
22.0,0.0,38.0,-82.48490133333333
23.0,0.0,38.0,-82.48490133333333
24.0,0.0,38.0,-82.48490133333333
25.0,0.0,38.0,-82.48490133333333
26.0,0.0,38.0,-82.48490133333333
27.0,0.0,38.0,-82.48490133333333
28.0,0.0,38.0,-82.48490133333333
29.0,0.0,38.0,-82.48490133333333
30.0,0.0,38.0,-82.48490133333333
31.0,0.0,38.0,-82.48490133333333
32.0,0.0,38.0,-82.48490133333333
33.0,0.0,38.0,-82.48490133333333
34.0,0.0,38.0,-82.48490133333333
35.0,0.0,38.0,-82.48490133333333
36.0,0.0,38.0,-82.48490133333333
37.0,0.0,38.0,-82.48490133333333
38.0,0.0,38.0,-82.48490133333333
0.0,1.0,38.0,-80.638883
1.0,1.0,38.0,-80.638883
2.0,1.0,38.0,-80.638883
3.0,1.0,38.0,-80.638883
4.0,1.0,38.0,-80.638883
5.0,1.0,38.0,-80.638883
6.0,1.0,38.0,-80.638883
7.0,1.0,38.0,-80.638883
8.0,1.0,38.0,-80.638883
9.0,1.0,38.0,-80.638883
10.0,1.0,38.0,-80.638883
11.0,1.0,38.0,-80.638883
12.0,1.0,38.0,-80.638883
13.0,1.0,38.0,-80.638883
14.0,1.0,38.0,-80.638883
15.0,1.0,38.0,-80.638883
16.0,1.0,38.0,-80.638883
17.0,1.0,38.0,-80.638883
18.0,1.0,38.0,-80.638883
19.0,1.0,38.0,-80.638883
20.0,1.0,38.0,-80.638883
21.0,1.0,38.0,-82.48490133333333
22.0,1.0,38.0,-82.48490133333333
23.0,1.0,38.0,-82.48490133333333
24.0,1.0,38.0,-82.48490133333333
25.0,1.0,38.0,-82.48490133333333
26.0,1.0,38.0,-82.48490133333333
27.0,1.0,38.0,-82.48490133333333
28.0,1.0,38.0,-82.48490133333333
29.0,1.0,38.0,-82.48490133333333
30.0,1.0,38.0,-82.48490133333333
31.0,1.0,38.0,-82.48490133333333
32.0,1.0,38.0,-82.48490133333333
33.0,1.0,38.0,-82.48490133333333
34.0,1.0,38.0,-82.48490133333333
35.0,1.0,38.0,-82.48490133333333
36.0,1.0,38.0,-82.48490133333333
37.0,1.0,38.0,-82.48490133333333
38.0,1.0,38.0,-82.48490133333333
39.0,1.0,38.0,-82.48490133333333
40.0,1.0,38.0,-85.736448
0.0,2.0,38.0,-80.638883
1.0,2.0,38.0,-80.638883
2.0,2.0,38.0,-80.638883
3.0,2.0,38.0,-80.638883
4.0,2.0,38.0,-80.638883
5.0,2.0,38.0,-80.638883
6.0,2.0,38.0,-80.638883
7.0,2.0,38.0,-80.638883
8.0,2.0,38.0,-80.638883
9.0,2.0,38.0,-80.638883
10.0,2.0,38.0,-80.638883
11.0,2.0,38.0,-80.638883
12.0,2.0,38.0,-80.638883
13.0,2.0,38.0,-80.638883
