x,y,pci,rsrp
75.0,10.0,39.0,-82.12264066666667
77.0,10.0,40.0,-82.12264066666667
74.0,11.0,39.0,-82.12264066666667
75.0,11.0,39.0,-82.12264066666667
76.0,11.0,41.0,-82.12264066666667
77.0,11.0,41.0,-82.12264066666667
78.0,11.0,41.0,-82.12264066666667
79.0,11.0,41.0,-82.12264066666667
75.0,12.0,39.0,-82.12264066666667
76.0,12.0,41.0,-82.12264066666667
77.0,12.0,41.0,-82.12264066666667
78.0,12.0,41.0,-82.12264066666667
79.0,12.0,41.0,-79.66526166666667
76.0,13.0,41.0,-80.55292866666667
77.0,13.0,41.0,-82.12264066666667
78.0,13.0,41.0,-82.12264066666667
79.0,13.0,41.0,-80.62761766666667
75.0,14.0,41.0,-80.55292866666667
76.0,14.0,41.0,-80.55292866666667
77.0,14.0,41.0,-80.39245833333332
78.0,14.0,41.0,-77.93507933333332
79.0,14.0,41.0,-77.99093166666667
80.0,14.0,41.0,-77.99093166666667
75.0,15.0,41.0,-80.053025
76.0,15.0,41.0,-80.053025
77.0,15.0,41.0,-80.053025
78.0,15.0,41.0,-76.42121966666666
79.0,15.0,41.0,-76.42121966666666
74.0,16.0,41.0,-82.84424866666667
75.0,16.0,41.0,-82.84424866666667
76.0,16.0,41.0,-80.05302499999999
77.0,16.0,41.0,-80.05302499999999
78.0,16.0,41.0,-78.888764
79.0,16.0,41.0,-77.59309966666666
80.0,16.0,41.0,-77.59309966666666
73.0,17.0,41.0,-84.19089866666667
74.0,17.0,41.0,-84.470713
75.0,17.0,41.0,-82.84424866666667
76.0,17.0,41.0,-80.05302499999999
77.0,17.0,41.0,-80.10887733333333
78.0,17.0,41.0,-77.53055333333333
79.0,17.0,41.0,-77.59309966666666
80.0,17.0,41.0,-77.59309966666666
73.0,18.0,41.0,-84.19089866666667
74.0,18.0,41.0,-84.19089866666667
75.0,18.0,41.0,-82.85494766666666
76.0,18.0,41.0,-81.22848333333333
77.0,18.0,41.0,-77.53055333333333
78.0,18.0,41.0,-77.53055333333333
79.0,18.0,41.0,-77.53055333333333
80.0,18.0,41.0,-77.53055333333333
81.0,18.0,41.0,-77.53055333333333
73.0,19.0,41.0,-84.19089866666667
74.0,19.0,41.0,-84.19089866666667
75.0,19.0,41.0,-81.572288
76.0,19.0,41.0,-81.572288
77.0,19.0,41.0,-78.65015933333332
78.0,19.0,41.0,-77.53055333333333
79.0,19.0,41.0,-77.53055333333333
80.0,19.0,41.0,-77.53055333333333
74.0,20.0,41.0,-84.19089866666667
75.0,20.0,41.0,-81.572288
76.0,20.0,41.0,-81.572288
77.0,20.0,41.0,-78.65015933333332
78.0,20.0,41.0,-77.53055333333333
79.0,20.0,41.0,-77.53055333333333
80.0,20.0,41.0,-77.53055333333333
76.0,21.0,41.0,-78.65015933333332
77.0,21.0,41.0,-78.65015933333332
78.0,21.0,41.0,-78.65015933333332
79.0,21.0,41.0,-77.53055333333333
80.0,21.0,41.0,-77.53055333333333
78.0,22.0,41.0,-78.65015933333332
79.0,22.0,41.0,-77.53055333333333
78.0,23.0,41.0,-78.65015933333332
