6.9745,14.566,136.091881,372.645945,520.047113,586.075934,643.187376,791.354535,1,8,1,1,8,8,37,-113.9,-109,-111.464
6.9745,14.566,136.091881,372.645945,520.047113,586.075934,643.187376,791.354535,1,8,1,1,8,8,39,-116.6,-107.4,-111.636842
7.0255,16.5805,137.767921,370.656175,520.553552,588.319641,642.010124,790.225917,1,8,1,1,8,8,37,-128.2,-118.1,-121.456
7.0255,16.5805,137.767921,370.656175,520.553552,588.319641,642.010124,790.225917,1,8,1,1,8,8,39,-130.2,-119.3,-124.574074
7.033,12.193,135.830777,374.977333,519.162788,583.062604,644.149827,792.152132,8,8,8,1,8,8,37,-120.3,-112.3,-115.11875
7.033,12.193,135.830777,374.977333,519.162788,583.062604,644.149827,792.152132,8,8,8,1,8,8,39,-125.3,-114.1,-118.2125
8.755,14.6395,121.148669,357.654862,505.063362,571.304647,628.156032,776.322098,1,8,1,1,8,8,37,-120.3,-109.8,-115.05
8.755,14.6395,121.148669,357.654862,505.063362,571.304647,628.156032,776.322098,1,8,1,1,8,8,39,-119.8,-119.4,-119.633333
8.803,16.5355,122.983739,355.726018,505.569975,573.484961,627.034289,775.249637,1,8,1,1,8,8,37,-130.6,-119.1,-125.67037
8.803,16.5355,122.983739,355.726018,505.569975,573.484961,627.034289,775.249637,1,8,1,1,8,8,39,-129.2,-122.4,-125.677778
8.929,12.145,119.941653,359.288185,503.167964,567.120798,628.255521,776.237721,8,8,8,1,8,8,37,-122.1,-116.4,-119.542857
8.929,12.145,119.941653,359.288185,503.167964,567.120798,628.255521,776.237721,8,8,8,1,8,8,39,-121.4,-112.8,-117.366667
9.5515,13.315,114.109596,352.49539,498.009036,563.099458,622.197718,770.27917,8,8,8,1,8,8,37,-108.3,-99.3,-102.018182
9.5515,13.315,114.109596,352.49539,498.009036,563.099458,622.197718,770.27917,8,8,8,1,8,8,39,-103.2,-98.8,-102.246667
11.2135,13.3915,100.079968,338.540987,484.004132,549.28681,608.168562,756.246653,8,8,8,1,8,8,37,-102.8,-97.3,-98.595882
11.2135,13.3915,100.079968,338.540987,484.004132,549.28681,608.168562,756.246653,8,8,8,1,8,8,39,-115.4,-112,-113.7
12.8665,13.1125,86.209048,325.161498,470.017021,535.152315,594.455213,742.499158,8,8,8,1,8,8,37,-102.4,-95.8,-97.625455
12.8665,13.1125,86.209048,325.161498,470.017021,535.152315,594.455213,742.499158,8,8,8,1,8,8,39,-105.4,-98.5,-102.02
14.5285,13.189,72.173402,311.237851,456.009868,521.349211,580.429152,728.468256,8,8,8,1,8,8,37,-101.1,-94.9,-97.439394
16.4215,13.0225,56.320511,295.787086,440.018181,505.33949,564.638823,712.646476,8,8,8,1,8,8,37,-99.6,-90.9,-94.520952
18.3205,13.093,40.311289,279.951782,424.010613,489.568177,548.629201,696.627591,8,8,8,1,8,8,37,-99.3,-88.7,-94.156693
19.858,12.9355,27.658633,267.523831,411.019464,476.542758,535.835796,683.801141,8,8,8,1,8,8,37,-91.7,-82.8,-86.687
21.757,13.006,12.083046,251.753848,395.011392,460.792795,519.831704,667.785145,8,8,8,1,8,8,37,-85,-79.3,-81.422344
23.656,13.0765,6.403124,236.019067,379.005277,445.062917,503.829336,651.769898,5,8,8,1,8,8,37,-81.4,-78.7,-79.892424
25.549,12.91,21.587033,220.880058,363.012397,429.075751,488.082985,635.975628,5,8,8,1,8,8,37,-88.1,-83.6,-85.310037
26.971,12.874,33.376639,209.389589,351.01282,417.193001,476.185888,624.052081,5,8,8,1,8,8,37,-94,-88.6,-91.176995
28.7515,12.9475,48.166378,194.797331,336.005952,402.497205,461.186513,609.036124,5,8,8,1,8,8,37,-103,-93.4,-96.844369
30.76,12.6595,65.276336,179.424079,319.025077,385.389413,444.630183,592.391762,5,8,8,1,8,8,37,-99.6,-94.7,-96.84802
30.76,12.6595,65.276336,179.424079,319.025077,385.389413,444.630183,592.391762,5,8,8,1,8,8,39,-100.4,-97.1,-99.15
32.0665,12.745,76.164296,168.798697,308.01461,374.674525,433.601199,581.351873,5,8,8,1,8,8,37,-102.6,-97.1,-99.597872
32.0665,12.745,76.164296,168.798697,308.01461,374.674525,433.601199,581.351873,5,8,8,1,8,8,39,-109.8,-99.8,-104.660714
33.844,12.7,91.137259,154.945152,293.015358,359.869421,418.766045,566.467122,5,8,8,1,8,8,39,-97.7,-97.5,-97.6
35.503,12.658,105.11898,142.225174,279.016129,346.066468,404.930858,552.580311,5,8,8,1,8,8,37,-106.7,-104.8,-105.8
35.503,12.658,105.11898,142.225174,279.016129,346.066468,404.930858,552.580311,5,8,8,1,8,8,39,-107,-104.3,-105.5
37.636,12.604,123.101584,126.269553,261.017241,328.344332,387.160174,534.734514,5,8,8,1,8,8,37,-114,-113.9,-113.95
37.636,12.604,123.101584,126.269553,261.017241,328.344332,387.160174,534.734514,5,8,8,1,8,8,39,-105.8,-94.1,-96.924215
39.301,12.799,137.032843,113.207774,247.002024,314.96349,373.021447,520.592931,5,8,8,1,8,8,37,-114.8,-109.3,-110.9
39.301,12.799,137.032843,113.207774,247.002024,314.96349,373.021447,520.592931,5,8,8,1,8,8,38,-115.2,-113.5,-114.175
39.301,12.799,137.032843,113.207774,247.002024,314.96349,373.021447,520.592931,5,8,8,1,8,8,39,-105.8,-96,-98.625714
41.26,24.607,179.471446,91.235958,253.160028,336.074396,356.141826,502.95626,4,1,1,1,1,1,38,-103.9,-97.9,-100.16087
41.26,24.607,179.471446,91.235958,253.160028,336.074396,356.141826,502.95626,4,1,1,1,1,1,39,-121.4,-116.3,-119.417647
