,x,y,pci,zone
332,49.0,1.0,39.0,3.0
333,50.0,1.0,39.0,3.0
334,51.0,1.0,39.0,3.0
335,52.0,1.0,39.0,3.0
336,53.0,1.0,39.0,3.0
337,54.0,1.0,39.0,3.0
338,55.0,1.0,39.0,3.0
339,56.0,1.0,39.0,3.0
23,57.0,1.0,39.0,3.0
340,58.0,1.0,39.0,3.0
341,59.0,1.0,39.0,3.0
342,60.0,1.0,39.0,3.0
33,61.0,1.0,39.0,3.0
343,62.0,1.0,39.0,3.0
40,63.0,1.0,39.0,3.0
344,64.0,1.0,39.0,3.0
345,65.0,1.0,39.0,3.0
346,66.0,1.0,39.0,3.0
347,67.0,1.0,39.0,3.0
348,68.0,1.0,39.0,3.0
349,69.0,1.0,39.0,3.0
350,70.0,1.0,39.0,3.0
351,71.0,1.0,40.0,5.0
352,72.0,1.0,40.0,5.0
353,73.0,1.0,40.0,5.0
354,74.0,1.0,40.0,5.0
355,75.0,1.0,40.0,5.0
356,76.0,1.0,40.0,5.0
357,77.0,1.0,40.0,5.0
358,78.0,1.0,40.0,5.0
359,79.0,1.0,40.0,5.0
360,80.0,1.0,41.0,2.0
361,81.0,1.0,41.0,2.0
362,82.0,1.0,41.0,2.0
363,83.0,1.0,41.0,2.0
364,84.0,1.0,41.0,2.0
365,85.0,1.0,41.0,2.0
366,86.0,1.0,41.0,2.0
367,87.0,1.0,41.0,2.0
368,88.0,1.0,41.0,2.0
369,89.0,1.0,41.0,2.0
370,90.0,1.0,41.0,2.0
371,91.0,1.0,41.0,2.0
372,92.0,1.0,41.0,2.0
373,93.0,1.0,41.0,2.0
374,94.0,1.0,41.0,2.0
375,95.0,1.0,41.0,2.0
376,96.0,1.0,41.0,2.0
377,97.0,1.0,39.0,2.0
378,98.0,1.0,39.0,2.0
379,99.0,1.0,39.0,2.0
380,100.0,1.0,39.0,2.0
381,101.0,1.0,39.0,2.0
382,102.0,1.0,39.0,2.0
383,103.0,1.0,39.0,2.0
384,104.0,1.0,39.0,1.0
385,0.0,2.0,38.0,4.0
386,1.0,2.0,38.0,4.0
387,2.0,2.0,38.0,4.0
388,3.0,2.0,38.0,4.0
389,4.0,2.0,38.0,4.0
390,5.0,2.0,38.0,4.0
391,6.0,2.0,38.0,4.0
392,7.0,2.0,38.0,4.0
393,8.0,2.0,38.0,4.0
394,9.0,2.0,38.0,4.0
395,10.0,2.0,38.0,4.0
396,11.0,2.0,38.0,4.0
397,12.0,2.0,38.0,4.0
398,13.0,2.0,38.0,4.0
399,14.0,2.0,38.0,4.0
400,15.0,2.0,38.0,4.0
401,16.0,2.0,38.0,4.0
402,17.0,2.0,38.0,4.0
403,18.0,2.0,38.0,4.0
404,19.0,2.0,38.0,4.0
405,20.0,2.0,38.0,4.0
406,21.0,2.0,38.0,4.0
407,22.0,2.0,38.0,4.0
408,23.0,2.0,38.0,4.0
409,24.0,2.0,38.0,4.0
410,25.0,2.0,38.0,4.0
411,26.0,2.0,38.0,4.0
412,27.0,2.0,38.0,4.0
413,28.0,2.0,38.0,4.0
414,29.0,2.0,38.0,4.0
415,30.0,2.0,38.0,4.0
416,31.0,2.0,38.0,4.0
417,32.0,2.0,38.0,4.0
418,33.0,2.0,38.0,4.0
419,34.0,2.0,38.0,4.0
420,35.0,2.0,38.0,4.0
421,36.0,2.0,38.0,4.0
422,37.0,2.0,38.0,4.0
423,38.0,2.0,38.0,4.0
424,39.0,2.0,38.0,4.0
425,40.0,2.0,38.0,4.0
426,41.0,2.0,38.0,4.0
427,42.0,2.0,38.0,4.0
428,43.0,2.0,38.0,3.0
429,44.0,2.0,38.0,3.0
430,45.0,2.0,39.0,3.0
431,46.0,2.0,39.0,3.0
432,47.0,2.0,39.0,3.0
433,48.0,2.0,39.0,3.0
434,49.0,2.0,39.0,3.0
435,50.0,2.0,39.0,3.0
436,51.0,2.0,39.0,3.0
437,52.0,2.0,39.0,3.0
438,53.0,2.0,39.0,3.0
439,54.0,2.0,39.0,3.0
440,55.0,2.0,39.0,3.0
441,56.0,2.0,39.0,3.0
442,57.0,2.0,39.0,3.0
443,58.0,2.0,39.0,3.0
444,59.0,2.0,39.0,3.0
445,60.0,2.0,39.0,3.0
446,61.0,2.0,39.0,3.0
447,62.0,2.0,39.0,3.0
448,63.0,2.0,39.0,3.0
449,64.0,2.0,39.0,3.0
450,65.0,2.0,39.0,3.0
451,66.0,2.0,39.0,3.0
452,67.0,2.0,39.0,3.0
453,68.0,2.0,39.0,3.0
454,69.0,2.0,39.0,3.0
455,70.0,2.0,39.0,3.0
456,71.0,2.0,40.0,5.0
457,72.0,2.0,40.0,5.0
458,73.0,2.0,40.0,5.0
459,74.0,2.0,40.0,5.0
460,75.0,2.0,40.0,5.0
461,76.0,2.0,40.0,5.0
462,77.0,2.0,40.0,5.0
463,78.0,2.0,40.0,5.0
464,79.0,2.0,40.0,5.0
465,80.0,2.0,41.0,2.0
466,81.0,2.0,41.0,2.0
467,82.0,2.0,41.0,2.0
468,83.0,2.0,41.0,2.0
469,84.0,2.0,41.0,2.0
470,85.0,2.0,41.0,2.0
471,86.0,2.0,41.0,2.0
472,87.0,2.0,41.0,2.0
473,88.0,2.0,41.0,2.0
474,89.0,2.0,41.0,2.0
475,90.0,2.0,41.0,2.0
476,91.0,2.0,41.0,2.0
477,92.0,2.0,41.0,2.0
478,93.0,2.0,41.0,2.0
479,94.0,2.0,41.0,2.0
480,95.0,2.0,41.0,2.0
481,96.0,2.0,39.0,2.0
482,97.0,2.0,39.0,2.0
483,98.0,2.0,39.0,2.0
484,99.0,2.0,39.0,2.0
485,100.0,2.0,39.0,2.0
486,101.0,2.0,41.0,2.0
487,102.0,2.0,39.0,2.0
488,103.0,2.0,39.0,2.0
489,104.0,2.0,39.0,1.0
490,0.0,3.0,38.0,4.0
491,1.0,3.0,38.0,4.0
492,2.0,3.0,38.0,4.0
493,3.0,3.0,38.0,4.0
494,4.0,3.0,38.0,4.0
495,5.0,3.0,38.0,4.0
496,6.0,3.0,38.0,4.0
497,7.0,3.0,38.0,4.0
498,8.0,3.0,38.0,4.0
499,9.0,3.0,38.0,4.0
500,10.0,3.0,38.0,4.0
501,11.0,3.0,38.0,4.0
502,12.0,3.0,38.0,4.0
503,13.0,3.0,38.0,4.0
504,14.0,3.0,38.0,4.0
505,15.0,3.0,38.0,4.0
506,16.0,3.0,38.0,4.0
507,17.0,3.0,38.0,4.0
508,18.0,3.0,38.0,4.0
509,19.0,3.0,38.0,4.0
510,20.0,3.0,38.0,4.0
511,21.0,3.0,38.0,4.0
512,22.0,3.0,38.0,4.0
513,23.0,3.0,38.0,4.0
514,24.0,3.0,38.0,4.0
515,25.0,3.0,38.0,4.0
516,26.0,3.0,38.0,4.0
517,27.0,3.0,38.0,4.0
518,28.0,3.0,38.0,4.0
519,29.0,3.0,38.0,4.0
520,30.0,3.0,38.0,4.0
521,31.0,3.0,38.0,4.0
522,32.0,3.0,38.0,4.0
523,33.0,3.0,38.0,4.0
524,34.0,3.0,38.0,4.0
525,35.0,3.0,38.0,4.0
526,36.0,3.0,38.0,4.0
527,37.0,3.0,38.0,4.0
528,38.0,3.0,38.0,4.0
529,39.0,3.0,38.0,4.0
530,40.0,3.0,38.0,4.0
531,41.0,3.0,38.0,4.0
532,42.0,3.0,38.0,4.0
533,43.0,3.0,38.0,4.0
534,44.0,3.0,38.0,4.0
535,45.0,3.0,38.0,4.0
536,46.0,3.0,39.0,3.0
537,47.0,3.0,39.0,3.0
538,48.0,3.0,39.0,3.0
539,49.0,3.0,39.0,3.0
540,50.0,3.0,39.0,3.0
541,51.0,3.0,39.0,3.0
542,52.0,3.0,39.0,3.0
543,53.0,3.0,39.0,3.0
544,54.0,3.0,39.0,3.0
545,55.0,3.0,39.0,3.0
546,56.0,3.0,39.0,3.0
21,57.0,3.0,39.0,3.0
547,58.0,3.0,39.0,3.0
548,59.0,3.0,39.0,3.0
549,60.0,3.0,39.0,3.0
550,61.0,3.0,39.0,3.0
551,62.0,3.0,39.0,3.0
552,63.0,3.0,39.0,3.0
553,64.0,3.0,39.0,3.0
554,65.0,3.0,39.0,3.0
47,66.0,3.0,39.0,3.0
555,67.0,3.0,39.0,3.0
52,68.0,3.0,39.0,3.0
58,69.0,3.0,39.0,3.0
556,70.0,3.0,39.0,3.0
67,71.0,3.0,40.0,5.0
557,72.0,3.0,40.0,5.0
75,73.0,3.0,40.0,5.0
558,74.0,3.0,40.0,5.0
83,75.0,3.0,40.0,5.0
559,76.0,3.0,40.0,5.0
91,77.0,3.0,40.0,5.0
560,78.0,3.0,40.0,5.0
100,79.0,3.0,40.0,5.0
561,80.0,3.0,40.0,5.0
107,81.0,3.0,41.0,2.0
113,82.0,3.0,41.0,2.0
562,83.0,3.0,41.0,2.0
120,84.0,3.0,41.0,2.0
127,85.0,3.0,41.0,2.0
563,86.0,3.0,41.0,2.0
135,87.0,3.0,41.0,2.0
564,88.0,3.0,41.0,2.0
145,89.0,3.0,40.0,5.0
565,90.0,3.0,41.0,2.0
566,91.0,3.0,41.0,2.0
567,92.0,3.0,41.0,2.0
568,93.0,3.0,41.0,2.0
569,94.0,3.0,41.0,2.0
570,95.0,3.0,39.0,2.0
571,96.0,3.0,39.0,2.0
572,97.0,3.0,39.0,2.0
573,98.0,3.0,39.0,2.0
574,99.0,3.0,39.0,2.0
575,100.0,3.0,41.0,2.0
576,101.0,3.0,41.0,2.0
577,102.0,3.0,39.0,2.0
578,103.0,3.0,39.0,1.0
579,104.0,3.0,39.0,1.0
580,0.0,4.0,38.0,4.0
